RegionName,State,StateCodeFIPS,MunicipalCodeFIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bergen County,NJ,34,3,247768.962,272197.4891,301188.0423,344889.3585,387869.8748,445184.8395,502788.9431,505605.5399,493259.553,456286.631,445411.0054,437201.3515,416575.8699,430693.6423,456124.8378,470939.6777,489186.2977,499593.4482,516776.83,525362.0002,533676.71,574508.1381,619587.3911,647520.7742,689930.45
Erie County,NY,36,29,90950.27618,90948.29694,94592.62719,97843.85436,106067.2287,109287.2814,115883.5892,121796.2928,123596.8572,124604.6448,126448.5673,128179.2584,125187.8118,127636.3602,133376.1929,137348.1129,144753.0071,152206.7403,162537.6289,171530.866,180861.5254,202273.3772,224517.2071,245948.1936,261768.5008
Gwinnett County,GA,13,135,159056.3948,169500.1347,178582.9345,185041.4018,188907.0003,193437.2816,200758.5727,208501.0008,208649.6509,184963.114,168227.5712,149174.015,132594.5741,135418.0896,163011.2676,178307.8724,193539.8548,207635.6225,223525.9771,241376.2017,254714.7106,282321.4588,356259.8821,394291.7086,405638.4661
Milwaukee County,WI,55,79,101515.982,106563.5675,114830.5009,123137.0968,135426.5591,149616.4228,163510.008,166756.1429,164395.0761,148475.4608,143480.9293,130976.9695,119865.171,121554.8349,126620.1251,131114.343,136436.1607,145001.3367,153847.0787,164416.8043,175477.1147,197868.4859,214718.1112,233512.3547,255475.4106
DuPage County,IL,17,43,207644.576,223091.1625,242956.2026,262547.2708,283544.6576,308763.9816,334543.8894,345641.8816,338068.7522,308741.7803,286070.3349,270655.9799,248035.1835,248244.7969,273570.3826,284249.3812,291688.1202,297285.99,311362.7804,317086.2847,320171.6692,339003.7402,363834.0864,380375.0929,408232.6306
Shelby County,TN,47,157,106987.6582,109879.3354,112300.7707,113707.3514,116336.0708,119164.413,123941.1831,,123076.6732,109109.2943,100625.5637,95823.67983,90426.55601,91318.03503,98509.41473,104192.5917,108943.8628,115222.07,125988.9024,137904.9374,148101.1453,169873.2145,200373.4218,221319.7115,216200.4978
Pierce County,WA,53,53,175764.271,184258.0782,195319.876,197224.9379,213220.4304,241766.8634,286503.6689,319528.3978,318657.9844,287565.0212,260363.4584,242396.2391,210413.8653,202109.8812,222746.9358,237783.834,262855.4631,288918.1027,320728.2694,350802.943,378552.5875,444347.67,517527.563,529061.7556,542126.5207
Kern County,CA,6,29,98562.90995,98679.37863,105518.5022,118029.3893,139450.1735,185304.8243,244720.3554,269423.5974,235276.2722,162601.8625,134719.4849,129743.5389,121683.4839,136095.3655,164796.5441,178427.57,191008.724,198553.86,210690.8083,222944.5002,234920.8458,261099.1097,308628.123,329786.6494,344772.4971
Hartford County,CT,9,3,156536.25,166283.90,180434.447,197706.824,218383.3511,240375.9904,265465.6416,275115.2035,269724.0422,247020.4502,235121.9151,229178.4367,214884.4617,216042.5048,219959.8228,220097.8569,223412.6469,227874.0483,234291.48,235368.8747,239163.6438,262900.1729,286853.2477,316406.9026,354047.0588
Denton County,TX,48,121,163879.5387,166729.3769,166493.8381,171237.0965,173777.1208,180223.3316,183717.8877,189391.9381,193864.6825,189632.6519,190939.6912,184389.3875,182433.3632,194674.6587,213130.5324,231175.6436,256981.7355,278333.3482,297056.7502,305619.6884,309569.7808,333930.4274,410383.0107,456548.1819,457724.6436
Macomb County,MI,26,99,142477.4588,152217.0117,159885.2428,164092.6346,168585.8601,174390.0621,176627.1591,172329.1703,157442.95,134940.8578,106975.1521,103672.1906,96596.14184,104521.2802,124875.7757,135491.8013,146220.2907,156822.3106,170992.6959,180229.778,190715.596,208847.0544,234381.7216,248290.0492,261127.4902
San Francisco County,CA,6,75,413928.1943,503708.885,535763.24,577529.8059,621775.5201,737023.3811,820385.3231,807070.888,822775.9928,739954.4676,685789.5003,666597.8311,627429.7643,753712.2306,870904.5395,1017143.977,1186159.767,1191270.655,1328694.413,1387363.082,1412129.176,1448943.052,1564571.448,1421557.203,1351608.784
Hidalgo County,TX,48,215,,,,,,,,77672.43,78139.84131,77599.11913,77349.02924,85107.13611,83094.14244,81773.72,85334.548,89736.86964,95630.36078,100674.0165,103430.1316,108351.9352,115829.2495,131941.01,148442.7288,170149.2127,182810.3897
New Haven County,CT,9,9,154522.2269,166543.4487,183985.3294,206832.4092,232826.2679,264299.3628,300078.4375,306074.3212,294226.3598,268294.9582,249686.3398,242957.3854,225327.9389,220175.2332,226258.3072,225050.9081,226828.3828,229107.2191,236402.2541,240640.5384,247839.3314,277337.8906,310144.7165,341386.8216,377360.8833
El Paso County,TX,48,141,95859.96839,93613.59261,91499.66858,93816.93802,97415.51655,107297.6902,115272.8303,131594.8494,140085.4345,132231.4372,130041.4454,127997.9578,126250.0454,122177.9105,122184.5866,122885.0471,125990.2808,130007.1269,132659.8884,136113.5879,140477.2241,154351.1839,177496.5027,200849.7165,212735.2186
Middlesex County,NJ,34,23,193210.2945,215131.9191,243843.6075,278720.375,312600.6655,356576.1424,407235.4862,415023.9483,397089.9366,366809.0239,348326.8581,334668.3543,310718.2703,306164.5447,322139.7638,335511.4431,348546.4156,352602.9547,366639.0036,380775.7507,400118.5088,428746.7464,470960.143,496791.1268,531009.62
Worcester County,MA,25,27,171679.2474,193192.4872,222098.8618,252636.2143,284563.6706,311045.6786,328633.3658,315807.132,296843.9162,266393.8456,256531.0804,249074.258,232616.6273,221540.2608,235018.0778,243081.9463,254868.82,271234.2443,290092.497,303632.1255,317164.8277,358732.1487,395899.497,428643.1805,468603.8304
Essex County,NJ,34,13,198810.3584,219523.7889,249701.4515,285465.9721,320190.3448,368318.8715,418914.9941,441591.2476,427343.9582,393700.897,362434.5791,353769.0948,326129.5673,329050.6423,342786.7066,366264.9388,382882.3778,393178.0795,411634.8278,428049.9289,446101.4016,494599.3064,534260.0105,565341.6212,614326.9748
Montgomery County,PA,42,91,162135.9164,170902.3344,183552.5561,207447.9561,233458.4014,264896.6575,296465.1229,301673.5807,298566.1919,283049.0349,278093.5501,271539.0172,257639.3929,262586.8159,273688.5028,276986.3049,285318.4791,293011.9541,306217.8119,314818.6558,325107.5589,359079.3145,393433.2199,431167.8439,456269.9753
Baltimore County,MD,24,5,138808.4143,144850.8547,151995.6018,166688.8251,188926.2808,224243.6551,268044.1241,293766.1558,293571.7489,269988.7784,249334.8461,233356.5423,220676.9858,223965.4589,232540.2359,237815.9896,243345.0831,250337.8333,256289.2899,263104.1255,272932.3823,293884.0454,323425.5976,335606.5177,345399.074
Ventura County,CA,6,111,269797.159,300779.3735,330093.29,386002.3104,465943.1653,578577.7439,659294.8521,655207.3638,570610.0138,463642.07,441210.4821,441295.4956,406522.3328,413151.8593,485696.6258,515411.3318,548838.1989,578211.9264,613845.0912,628292.6719,636788.5271,702093.6399,797642.0808,827190.56,870403.8859
Hamilton County,OH,39,61,114425.6746,119715.67,125014.5238,130656.5289,135753.0605,140008.205,144009.9765,144871.8689,142260.2786,132701.8472,132156.1578,125886.8461,119899.2237,118725.0515,124626.4746,128578.816,137272.5066,145136.4934,153677.6341,166226.565,175864.8335,199372.6102,220897.3408,237035.4475,254373.7655
Snohomish County,WA,53,61,222285.14,232125.6832,244361.8345,252790.9668,265489.4876,289441.1677,338917.1517,388076.157,395077.0846,341391.9816,306053.7991,275394.1405,244929.0611,258302.4363,298639.0942,319672.8621,354314.8251,393705.4157,442288.3673,476120.9401,494946.2952,566754.5833,688547.3709,710454.9676,737475.7361
Multnomah County,OR,41,51,161945.0778,167737.9078,175088.8095,185366.891,197772.0434,213218.2183,252461.9126,285659.3353,293522.2228,275609.4845,256454.8853,240432.6812,225379.4164,244016.8138,273437.674,298050.0156,350021.3254,395092.444,413805.9947,416005.9701,427033.0447,471186.2399,527832.0435,517242.2895,513166.52
Fort Bend County,TX,48,157,159341.2896,163123.9157,163520.1646,170734.4341,175155.442,186320.6537,189041.2356,194805.7209,199895.8173,191130.8689,194083.4878,190795.2182,185553.8267,191508.48,211165.7638,235019.3305,254154.15,256771.9154,259891.144,264664.0793,268422.56,283955.1699,341321.8303,377486.142,381563.0489
